,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
84,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)","RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",A$AP Mob,2017-05-22,255413,64,0.848,0.523,0.848,0.663,0.0,0.108,-5.606,0.245,133.993,4
85,Saint Laurent Mask,"Huncho Jack, Jack Huncho",Huncho Jack,2017-12-21,190436,0,0.767,0.0432,0.767,0.59,0.0,0.169,-4.098,0.041,134.994,4
86,My Mind,NAV,NAV,2017-02-24,161106,0,0.731,0.0428,0.731,0.719,0.0,0.163,-5.591,0.0929,143.041,4
87,Enormous (feat. Ty Dolla $ign),Mr. Davis,Gucci Mane,2017-10-13,244453,46,0.844,0.234,0.844,0.486,0.0,0.0976,-6.915,0.368,142.606,4
88,Bali (feat. Nav),88glam,88GLAM,2017-11-07,185316,0,0.646,0.097,0.646,0.503,0.0,0.13,-7.218,0.0402,158.027,4
89,Phone (feat. NAV),Phone (feat. NAV),Smokepurpp,2017-12-29,185806,49,0.802,0.0168,0.802,0.494,0.0,0.0854,-8.083,0.112,155.064,4
90,Hit,Perfect Timing,NAV,2017-07-21,169786,58,0.871,0.206,0.871,0.682,0.0548,0.132,-9.113,0.17,140.084,4
91,She For Keeps,She For Keeps,Quality Control,2017-12-08,237398,0,0.888,0.146,0.888,0.709,0.0,0.1,-5.429,0.113,140.047,4
92,Iced Out (feat. 2 Chainz),Lil Pump,Lil Pump,2017-10-06,192000,55,0.934,0.00365,0.934,0.407,0.0,0.11,-8.058,0.345,140.024,4
93,Chill Bill (feat. J. Davi$ & Spooks),Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,2016-06-17,177184,77,0.886,0.0312,0.886,0.427,0.00099,0.0906,-10.028,0.145,108.034,4
94,Team Rocket,Lil Uzi Vert vs. The World,Lil Uzi Vert,2016-05-27,206106,59,0.691,0.0907,0.691,0.54,0.0,0.175,-8.818,0.0532,132.02,4
95,Ps & Qs,Lil Uzi Vert vs. The World,Lil Uzi Vert,2016-05-27,221538,70,0.522,0.235,0.522,0.428,2.35e-06,0.278,-11.332,0.143,129.829,4
96,Seven Million (feat. Future),The Perfect LUV Tape,Lil Uzi Vert,2016-08-10,182491,63,0.886,0.051,0.886,0.629,7.66e-06,0.121,-4.404,0.306,158.002,4
97,Do What I Want,The Perfect LUV Tape,Lil Uzi Vert,2016-08-10,175203,69,0.681,0.106,0.681,0.701,0.0,0.208,-6.336,0.0767,139.952,4
98,"Gucci On My (feat. 21 Savage, YG & Migos)",Ransom 2,Mike WiLL Made-It,2017-03-24,274846,0,0.932,0.18,0.932,0.357,6.48e-06,0.152,-5.347,0.237,140.006,4
99,Drinks On Us,Drinks On Us,Mike WiLL Made-It,2015-03-06,311163,0,0.776,0.371,0.776,0.628,0.000104,0.102,-6.553,0.284,128.948,4
