,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
98,Rush (feat. Jessie Reyez),Rush (feat. Jessie Reyez),Lewis Capaldi,2018-02-23,198351,68,0.631,0.565,0.631,0.609,0.0,0.635,-7.394,0.0886,119.636,4,sad,English,2018
99,Empty Space,YOU,James Arthur,2019-10-18,213306,68,0.546,0.22,0.546,0.515,0.0,0.0611,-5.379,0.0563,164.792,4,sad,English,2019
0,Shot For Me,Take Care (Deluxe),Drake,2011-11-15,224720,43,0.566,0.0555,0.566,0.465,0.0,0.567,-11.714,0.235,143.015,4,sad,English,2011
1,Marvins Room,Take Care (Deluxe),Drake,2011-11-15,347226,53,0.492,0.646,0.492,0.26,0.00178,0.0705,-17.341,0.0921,111.519,5,sad,English,2011
2,Over My Dead Body,Take Care (Deluxe),Drake,2011-11-15,272573,34,0.489,0.759,0.489,0.57,2.1e-06,0.179,-10.291,0.306,185.516,4,sad,English,2011
3,Crew Love,Take Care (Deluxe),Drake,2011-11-15,208813,51,0.418,0.227,0.418,0.546,0.0,0.229,-9.057,0.238,160.152,4,sad,English,2011
4,Doing It Wrong,Take Care (Deluxe),Drake,2011-11-15,265120,48,0.397,0.841,0.397,0.172,6.78e-05,0.108,-15.698,0.0445,101.275,4,sad,English,2011
5,The Real Her,Take Care (Deluxe),Drake,2011-11-15,321080,34,0.567,0.166,0.567,0.309,0.0,0.12,-14.254,0.385,65.041,4,sad,English,2011
6,Now & Forever,If You're Reading This It's Too Late,Drake,2015-02-12,281320,58,0.555,0.124,0.555,0.481,0.0,0.101,-7.419,0.0322,107.793,4,sad,English,2015
7,Jungle,If You're Reading This It's Too Late,Drake,2015-02-12,320400,71,0.697,0.62,0.697,0.235,0.000144,0.107,-8.651,0.0534,99.947,4,sad,English,2015
8,You & The 6,If You're Reading This It's Too Late,Drake,2015-02-12,264906,57,0.545,0.168,0.545,0.476,0.0,0.13,-7.444,0.284,154.362,4,sad,English,2015
9,Company,If You're Reading This It's Too Late,Drake,2015-02-12,252640,61,0.651,0.0403,0.651,0.55,0.0,0.165,-8.215,0.0496,107.567,4,sad,English,2015
10,Too Much,Nothing Was The Same (Deluxe),Drake,2013-01-01,261853,0,0.637,0.173,0.637,0.569,0.0,0.18,-5.858,0.55,140.269,4,sad,English,2013
11,Redemption,Views,Drake,2016-05-13,333946,46,0.694,0.612,0.694,0.314,2.04e-06,0.117,-7.82,0.117,119.906,4,sad,English,2016
12,Miss Me,Thank Me Later,Drake,2010-01-01,305520,57,0.426,0.0813,0.426,0.862,0.0,0.34,-5.979,0.597,100.3,5,sad,English,2010
13,Shut It Down,Thank Me Later,Drake,2010-01-01,419306,53,0.59,0.411,0.59,0.434,0.0,0.0979,-9.298,0.069,119.905,4,sad,English,2010
14,Make Me Proud,Take Care (Deluxe),Drake,2011-11-15,219893,47,0.684,0.00268,0.684,0.486,0.000148,0.157,-10.155,0.132,131.913,4,sad,English,2011
15,Look What You've Done,Take Care (Deluxe),Drake,2011-11-15,301960,33,0.495,0.485,0.495,0.351,0.0,0.0967,-14.669,0.34,134.369,4,sad,English,2011
16,Practice,Take Care (Deluxe),Drake,2011-11-15,237733,36,0.446,0.574,0.446,0.239,7.76e-05,0.12,-15.327,0.0876,104.675,4,sad,English,2011
17,Cameras / Good Ones Go Interlude - Medley,Take Care (Deluxe),Drake,2011-11-15,434960,33,0.441,0.255,0.441,0.403,1.27e-05,0.13,-11.18,0.147,139.92,4,sad,English,2011
