,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
91,Go Stupid (feat. Mike WiLL Made-It),Go Stupid (feat. Mike WiLL Made-It),Polo G,2020-02-14,165726,69,0.92,0.0277,0.92,0.833,0.0,0.0596,-3.18,0.253,141.033,4,Hip-Hop,English,2020
92,F.N,F.N,Lil Tjay,2019-08-09,224000,67,0.562,0.323,0.562,0.502,0.0,0.0757,-10.269,0.255,120.104,1,Hip-Hop,English,2019
93,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,91,0.695,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,Hip-Hop,English,2019
94,GATTI,JACKBOYS,JACKBOYS,2019-12-27,181144,79,0.594,0.135,0.594,0.676,0.0,0.163,-5.808,0.344,143.477,4,Hip-Hop,English,2019
95,Pop Out (feat. Lil Tjay),Die A Legend,Polo G,2019-06-07,166560,83,0.772,0.15,0.772,0.639,0.0,0.0698,-7.119,0.467,168.112,4,Hip-Hop,English,2019
96,No Stylist (feat. Drake),MONTANA,French Montana,2019-12-06,189692,65,0.762,0.0172,0.762,0.696,1.33e-06,0.22,-4.795,0.126,147.123,4,Hip-Hop,English,2019
97,No Limit,The Beautiful & Damned,G-Eazy,2017-12-15,245386,75,0.838,0.0117,0.838,0.771,0.0,0.0853,-3.791,0.244,175.957,4,Hip-Hop,English,2017
98,VALENTINO,VALENTINO,24kGoldn,2019-01-25,179133,71,0.745,0.197,0.745,0.718,0.0,0.134,-4.853,0.183,151.097,4,Hip-Hop,English,2019
99,Rodeo,7 EP,Lil Nas X,2019-06-21,158706,77,0.706,0.139,0.706,0.679,6.98e-05,0.465,-5.614,0.0324,140.081,4,Hip-Hop,English,2019
0,Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,201573,54,0.513,0.00147,0.513,0.796,0.000209,0.0938,-4.075,0.0629,171.017,4,Hip-Hop,English,2019
1,Heartless,Heartless,The Weeknd,2019-11-27,200080,39,0.531,0.00632,0.531,0.75,7.6e-05,0.117,-5.831,0.111,169.954,4,Hip-Hop,English,2019
2,Starboy,Starboy,The Weeknd,2016-11-25,230453,84,0.679,0.141,0.679,0.587,6.35e-06,0.137,-7.015,0.276,186.003,4,Hip-Hop,English,2016
3,After Hours,After Hours,The Weeknd,2020-02-19,361946,43,0.663,0.0938,0.663,0.567,0.00978,0.124,-5.941,0.0309,108.959,4,Hip-Hop,English,2020
4,The Hills,Beauty Behind The Madness,The Weeknd,2015-08-28,242253,84,0.585,0.0671,0.585,0.564,0.0,0.135,-7.063,0.0515,113.003,4,Hip-Hop,English,2015
5,Low Life (feat. The Weeknd),EVOL,Future,2016-04-13,313546,75,0.722,0.337,0.722,0.331,0.283,0.146,-7.789,0.0725,143.974,4,Hip-Hop,English,2016
6,I Feel It Coming,Starboy,The Weeknd,2016-11-25,269186,80,0.773,0.428,0.773,0.819,0.0,0.0679,-5.946,0.118,92.987,4,Hip-Hop,English,2016
7,Rockin’,Starboy,The Weeknd,2016-11-25,232880,68,0.738,0.0133,0.738,0.885,0.0,0.0821,-5.547,0.206,112.878,4,Hip-Hop,English,2016
8,Party Monster,Starboy,The Weeknd,2016-11-25,249213,73,0.573,0.189,0.573,0.63,2.31e-05,0.259,-8.389,0.105,77.525,4,Hip-Hop,English,2016
9,Can't Feel My Face,Beauty Behind The Madness,The Weeknd,2015-08-28,213520,80,0.705,0.113,0.705,0.769,0.0,0.105,-5.526,0.0425,107.949,4,Hip-Hop,English,2015
10,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",The Weeknd,2014-12-23,252226,78,0.659,0.385,0.659,0.381,0.0,0.0972,-5.922,0.0304,119.844,3,Hip-Hop,English,2014
11,A Lonely Night,Starboy,The Weeknd,2016-11-25,220173,67,0.853,0.0431,0.853,0.663,8.71e-06,0.0891,-6.955,0.0755,113.998,4,Hip-Hop,English,2016
12,Reminder,Starboy,The Weeknd,2016-11-25,218880,73,0.706,0.142,0.706,0.505,0.0,0.164,-6.923,0.193,160.053,4,Hip-Hop,English,2016
13,False Alarm,Starboy,The Weeknd,2016-11-25,220306,69,0.517,0.0324,0.517,0.677,3.37e-05,0.189,-6.373,0.0746,173.978,4,Hip-Hop,English,2016
